00:00-01:00	715	938	923	492	702	825	760	1316	664	819	590	532	703	764	
01:00-02:00	1027	1005	751	795	2585	902	805	689	3178	1059	670	580	783	744	
02:00-03:00	926	814	978	521	790	1100	998	656	659	750	1769	1605	2074	1801	
03:00-04:00	1007	581	750	880	975	1145	893	1594	521	856	653	751	695	729	
04:00-05:00	1031	689	1005	739	1283	1376	906	1161	585	744	997	724	686	792	
05:00-06:00	1301	1005	944	734	1320	1231	940	614	554	676	844	765	704	824	
06:00-07:00	1032	1250	974	822	1651	1592	1068	673	706	886	792	774	791	765	
07:00-08:00	1145	1318	1195	841	1542	1473	1031	933	812	992	851	796	887	849	
08:00-09:00	1295	1656	1248	1060	1672	1605	1051	1166	1004	1835	1140	1056	948	1080	
09:00-10:00	1729	1771	1410	1350	1741	1549	1469	1450	1435	1684	1459	1116	1010	1478	
10:00-11:00	1705	1840	1630	1551	1609	3226	1575	1634	1736	1701	1561	1451	1079	1710	
11:00-12:00	1670	1828	1497	1423	1381	1527	1216	1678	1697	1633	1682	1358	1305	1660	
12:00-13:00	1476	1667	1024	998	1413	1252	1015	1237	1130	961	1037	738	790	1082	
13:00-14:00	1233	1480	1192	1019	1484	1271	1044	1400	1097	1026	1147	734	888	1068	
14:00-15:00	1348	1280	1110	1049	1302	1120	1236	590	1262	1309	1265	804	964	1219	
15:00-16:00	1557	1411	1277	1227	1222	986	1502	1090	1565	2062	1385	1169	993	1318	
16:00-17:00	1408	1378	1181	1215	1314	940	2766	1707	1564	1191	1313	1105	1082	1480	
17:00-18:00	1212	1355	1155	1097	1214	764	1830	1252	1076	983	1497	1185	1026	1029	
18:00-19:00	1141	1062	949	846	1322	973	1012	1159	830	1057	1034	1017	1111	1291	
19:00-20:00	1180	1661	986	1051	1290	940	978	1029	1081	946	1183	1028	1127	1104	
20:00-21:00	1308	1392	855	916	1245	1045	964	996	1368	972	1077	1151	1047	1176	
21:00-22:00	1414	1201	837	993	950	1028	927	1076	1182	982	930	1188	1096	1234	
22:00-23:00	1365	1013	849	1277	1006	940	1093	1000	1193	999	824	1120	1011	1223	
23:00-00:00	1263	1498	751	1071	1065	3100	883	3327	1116	808	972	967	923	926	
